"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"rings:Body_Ident_Base:1               ","Class","Body_Ident_Base","1.0.0.0","rings","The Body_Ident_Base class provides multiple attributes that can be used to identify a physical object (spacecraft, planet instrument, transmitter, system barycenter, etc.). At least one must be used. ","rings","","","","","","","","","","",""
"rings:Display_Direction:1             ","Class","Display_Direction","1.0.0.0","rings","The Display_Direction class specifies which two of the dimensions of an Array object should be displayed and how they should be displayed in the vertical (line) and horizontal (sample) dimensions of a display device. This class is a modification of the corresponding class in the Display Dictionary, and is redefined here for convenience. The local_identifier_reference is used to identify the array or arrays to which this iteration of the class applies. Multiple entries are permitted the settings in the iteration of Display_Direction apply to all of the referenced arrays. ","rings","","","","","","","","","","",""
"rings:Display_Direction:2              pds:local_identifier:1              ","Attribute","local_identifier","n/a","pds","The local_identifier attribute provides a character string which uniquely identifies the containing object within the label.","TBD_steward","ASCII_Local_Identifier","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","TBD_dataConcept"
"rings:Display_Direction:2              pds:local_identifier_reference:1    ","Attribute","local_identifier_reference","n/a","pds","The local_identifier_reference attribute provides the value of the local_identifier of the entity described by the referencing class. Note that a local_identifier attribute, with the same value as this local_identifier_reference, must be present within the label.","TBD_steward","ASCII_Local_Identifier_Reference","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","TBD_dataConcept"
"rings:Display_Direction:2              pds:comment:1                       ","Attribute","comment","n/a","pds","The comment attribute is a character string expressing one or more remarks or thoughts relevant to the object.","TBD_steward","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","TBD_dataConcept"
"rings:Display_Direction:2              rings:horizontal_display_axis:1       ","Attribute","horizontal_display_axis","n/a","rings","The horizontal_display_axis attribute identifies, by name, the axis of an Array (or Array subclass) that is intended to be displayed in the horizontal or ""sample"" dimension on a display device. The value of this attribute must match the value of one, and only one, axis_name attribute in an Axis_Array class of the associated Array. ","rings","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"rings:Display_Direction:2              rings:horizontal_display_direction:1  ","Attribute","horizontal_display_direction","n/a","rings","The horizontal_display_direction attribute specifies the direction across the screen of a display device that data along the horizontal axis of an Array is supposed to be displayed. ","rings","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"rings:Display_Direction:2              rings:horizontal_display_direction:2   Value:Left to Right","Value","Left to Right","","","Data along the horizontal axis of an array should be displayed from left to right. "
"rings:Display_Direction:2              rings:horizontal_display_direction:2   Value:Right to Left","Value","Right to Left","","","Data along the horizontal axis of an array should be displayed from right to left. "
"rings:Display_Direction:2              rings:vertical_display_axis:1         ","Attribute","vertical_display_axis","n/a","rings","The vertical_display_axis attribute identifies, by name, the axis of an Array (or Array subclass) that is intended to be displayed in the vertical or ""line"" dimension on a display device. The value of this attribute must match the value of one, and only one, axis_name attribute in an Axis_Array class of the associated Array. ","rings","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"rings:Display_Direction:2              rings:vertical_display_direction:1    ","Attribute","vertical_display_direction","n/a","rings","The vertical_display_direction attribute specifies the direction along the screen of a display device that data along the vertical axis of an Array is supposed to be displayed. ","rings","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"rings:Display_Direction:2              rings:vertical_display_direction:2     Value:Bottom to Top","Value","Bottom to Top","","","Data along the vertical axis of an array should be displayed from the bottom to the top of the display device. "
"rings:Display_Direction:2              rings:vertical_display_direction:2     Value:Top to Bottom","Value","Top to Bottom","","","Data along the vertical axis of an array should be displayed from the top to the bottom of the display device. "
"rings:Uniformly_Sampled_Radius:1      ","Class","Uniformly_Sampled_Radius","1.0.0.0","rings"," The Uniformly_Sampled_Radius class provides attributes describing the spectral characteristics of an axis of an Array object or the rows of a Table object, in cases where the spectral sampling interval is regular and the sampling parameters are in wavelength units. The axis is identified either by using Local_Internal_Reference, or by using axis name. The latter may be simpler to use if this class applies to multiple Array objects. ","rings","","","","","","","","","","",""
"rings:Uniformly_Sampled_Radius:2       pds:local_identifier:1              ","Attribute","local_identifier","n/a","pds","The local_identifier attribute provides a character string which uniquely identifies the containing object within the label.","TBD_steward","ASCII_Local_Identifier","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","TBD_dataConcept"
"rings:Uniformly_Sampled_Radius:2       rings:axis_name:1                     ","Attribute","axis_name","n/a","rings"," The axis_name attribute contains a string that matches the axis_name attribute in an axis_array class of an associated array object. ","rings","ASCII_Short_String_Collapsed","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"rings:Uniformly_Sampled_Radius:2       rings:sampling_interval_length:1      ","Attribute","sampling_interval_length","n/a","rings"," The sampling_interval_length attribute provides the spacing of points, in units of length, at which data are sampled and at which a value for an instrument or data parameter is available. This sampling interval can be either the original (raw) sampling or the result of some resampling process. ","rings","ASCII_Real","1","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Length","none","TBD_classConcept","REAL"
"rings:Uniformly_Sampled_Radius:2       rings:sampling_scale:1                ","Attribute","sampling_scale","n/a","rings"," The sampling_scale attribute indicates the type of scale that applies to the sample interval increments. It must have a value of either Linear, Logarithmic or Exponential. ","rings","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"rings:Uniformly_Sampled_Radius:2       rings:sampling_scale:2                 Value:Exponential","Value","Exponential","","","The sampling values are incremented in terms of exponential values of the physical values they represent."
"rings:Uniformly_Sampled_Radius:2       rings:sampling_scale:2                 Value:Linear","Value","Linear","","","The sampling intervals are linear with respect to the physical values they represent."
"rings:Uniformly_Sampled_Radius:2       rings:sampling_scale:2                 Value:Logarithmic","Value","Logarithmic","","","The sampling values are logarithms of the physical values they represent."
"rings:Uniformly_Sampled_Radius:2       rings:sampling_base:1                 ","Attribute","sampling_base","n/a","rings"," The sampling_base attribute indicates the numeric base of the associated logarithmic or exponential sampling interval. ","rings","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"rings:Uniformly_Sampled_Radius:2       rings:first_ring_radius:1             ","Attribute","first_ring_radius","n/a","rings"," The first_ring_radius attribute provides the value of the first increment along the radius axis of an array given in units of length. ","rings","ASCII_Real","1","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Length","none","TBD_classConcept","REAL"
"rings:Uniformly_Sampled_Radius:2       rings:last_ring_radius:1              ","Attribute","last_ring_radius","n/a","rings"," The last_ring_radius attribute provides the value of the last increment along the radius axis of an array given in units of length. ","rings","ASCII_Real","1","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Length","none","TBD_classConcept","REAL"
"rings:Uniformly_Sampled_Radius:2       pds:comment:1                       ","Attribute","comment","n/a","pds","The comment attribute is a character string expressing one or more remarks or thoughts relevant to the object.","TBD_steward","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","TBD_dataConcept"
"rings:Wavelength_Parameters:1         ","Class","Wavelength_Parameters","1.0.0.0","rings","This class contains the three wavelength attributes ","rings","","","","","","","","","","",""
"rings:Wavelength_Parameters:2          pds:local_identifier:1              ","Attribute","local_identifier","n/a","pds","The local_identifier attribute provides a character string which uniquely identifies the containing object within the label.","TBD_steward","ASCII_Local_Identifier","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","TBD_dataConcept"
"rings:Wavelength_Parameters:2          rings:wavelength:1                    ","Attribute","wavelength","n/a","rings","wavelength of the observation. Optional in labels. If the observation is over a wavelength range, use the corresponding minimum and maximum attributes instead. ","rings","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Length","none","TBD_classConcept","REAL"
"rings:Wavelength_Parameters:2          rings:minimum_wavelength:1            ","Attribute","minimum_wavelength","n/a","rings","minimum_wavelength is the smallest wavelength used in the observation. Optional in labels. Used with maximum_wavelength when the observation is over a wavelength range. ","rings","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Length","none","TBD_classConcept","REAL"
"rings:Wavelength_Parameters:2          rings:maximum_wavelength:1            ","Attribute","maximum_wavelength","n/a","rings","maximum_wavelength is the largest wavelength used in the observation. Optional in labels. Used with minimum_wavelength when the observation is over a wavelength range. ","rings","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Length","none","TBD_classConcept","REAL"
"rings:Reprojection_Grid_Parameters:1  ","Class","Reprojection_Grid_Parameters","1.0.0.0","rings","This class contains reprojection grid resolution parameters ","rings","","","","","","","","","","",""
"rings:Reprojection_Grid_Parameters:2   pds:local_identifier:1              ","Attribute","local_identifier","n/a","pds","The local_identifier attribute provides a character string which uniquely identifies the containing object within the label.","TBD_steward","ASCII_Local_Identifier","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","TBD_dataConcept"
"rings:Reprojection_Grid_Parameters:2   rings:reprojection_grid_radial_resolution_mean:1","Attribute","reprojection_grid_radial_resolution_mean","n/a","rings","reprojection_grid_radial_resolution_mean indicates ","rings","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Length","none","TBD_classConcept","REAL"
"rings:Reprojection_Grid_Parameters:2   rings:reprojection_grid_radial_resolution_min:1","Attribute","reprojection_grid_radial_resolution_min","n/a","rings","reprojection_grid_radial_resolution_min indicates ","rings","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Length","none","TBD_classConcept","REAL"
"rings:Reprojection_Grid_Parameters:2   rings:reprojection_grid_radial_resolution_max:1","Attribute","reprojection_grid_radial_resolution_max","n/a","rings","reprojection_grid_radial_resolution_max indicates ","rings","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Length","none","TBD_classConcept","REAL"
"rings:Reprojection_Grid_Parameters:2   rings:reprojection_grid_angular_resolution_mean:1","Attribute","reprojection_grid_angular_resolution_mean","n/a","rings","reprojection_grid_angular_resolution_mean indicates ","rings","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Length","none","TBD_classConcept","REAL"
"rings:Reprojection_Grid_Parameters:2   rings:reprojection_grid_angular_resolution_min:1","Attribute","reprojection_grid_angular_resolution_min","n/a","rings","reprojection_grid_angular_resolution_min indicates ","rings","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Length","none","TBD_classConcept","REAL"
"rings:Reprojection_Grid_Parameters:2   rings:reprojection_grid_angular_resolution_max:1","Attribute","reprojection_grid_angular_resolution_max","n/a","rings","reprojection_grid_angular_resolution_max indicates ","rings","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Length","none","TBD_classConcept","REAL"
"rings:Occultation_Ring_Profile:1      ","Class","Occultation_Ring_Profile","1.0.0.0","rings","This class replaces the Radio_Occultation and Stellar_Occultation classes. It is used for all ring occultation profiles regardless of the occultation type. ","rings","","","","","","","","","","",""
"rings:Occultation_Ring_Profile:2       pds:local_identifier:1              ","Attribute","local_identifier","n/a","pds","The local_identifier attribute provides a character string which uniquely identifies the containing object within the label.","TBD_steward","ASCII_Local_Identifier","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","TBD_dataConcept"
"rings:Occultation_Ring_Profile:2       rings:orbit_number:1                  ","Attribute","orbit_number","n/a","rings","orbit_number if present is the value assigned by the mission for the orbit number associated with the observation. Optional in labels of occultation observations and may be used multiple times. ","rings","ASCII_Short_String_Collapsed","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"rings:Occultation_Ring_Profile:2       rings:sclk_start_time:1               ","Attribute","sclk_start_time","n/a","rings","sclk_start_time is the value of the spacecraft clock corresponding to the start_date_time given in the label. ","rings","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"rings:Occultation_Ring_Profile:2       rings:sclk_stop_time:1                ","Attribute","sclk_stop_time","n/a","rings","sclk_stop_time is the value of the spacecraft clock corresponding to the stop_date_time given in the label. ","rings","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"rings:Occultation_Ring_Profile:2       rings:occultation_type:1              ","Attribute","occultation_type","n/a","rings","occultation_type distinguishes between three types of occultation experiments: Stellar, Solar, or Radio. Stellar occultations involve observing a star as a targeted ring or body passes in front, as seen from either a spacecraft or Earth-based observatory. Solar occultations are similar to stellar occultations except that the Sun is used in place of a star. Radio occultations typically involve observing the continuous-wave radio transmissions from a spacecraft as it passes behind the target as seen from a radio telescope on Earth or another spacecraft. Required in labels of occultation observations. Normally not intended as a value for a table field. ","rings","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"rings:Occultation_Ring_Profile:2       rings:occultation_type:2               Value:Radio","Value","Radio","","","Radio waves were transmitted through the target."
"rings:Occultation_Ring_Profile:2       rings:occultation_type:2               Value:Solar","Value","Solar","","","The target occulted the sun."
"rings:Occultation_Ring_Profile:2       rings:occultation_type:2               Value:Stellar","Value","Stellar","","","The target occulted a star."
"rings:Occultation_Ring_Profile:2       rings:occultation_direction:1         ","Attribute","occultation_direction","n/a","rings","occultation_direction indicates the direction of an occultation track. This refers to the observed occultation track overall, not to the subset that might appear in a particular file (e.g., if an occultation includes both ingress and egress tracks, the value for occultation_direction will be both in the data products for each occultation profile. Permitted values are 'ingress', 'egress', 'both', and 'multiple'. The value 'multiple' is used where the occultation track is not monotonic over relatively short time scales. Generally only used for some Hubble-based occultations. May be appropriate for extremely long duration occultations of a high proper motion star (e.g., u36). Required in labels of ring occultation observations. Not intended as a value for a table field. ","rings","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"rings:Occultation_Ring_Profile:2       rings:occultation_direction:2          Value:Both","Value","Both","","","The projected distance to the target body center along a portion of the occultation track decreases with time, and along a different portion increases with time."
"rings:Occultation_Ring_Profile:2       rings:occultation_direction:2          Value:Egress","Value","Egress","","","The projected distance to the target body center increases with time."
"rings:Occultation_Ring_Profile:2       rings:occultation_direction:2          Value:Ingress","Value","Ingress","","","The projected distance to the target body center decreases with time."
"rings:Occultation_Ring_Profile:2       rings:occultation_direction:2          Value:multiple","Value","multiple","","","The occultation track is not monotonic over relatively short time scales. Generally only used for some Hubble-based occultations. May be appropriate for extremely long duration occultations of a high proper motion star (e.g., u36)."
"rings:Occultation_Ring_Profile:2       rings:ring_profile_direction:1        ","Attribute","ring_profile_direction","n/a","rings","ring_profile_direction indicates the radial direction of a ring occultation within a particular data product. Possible values are 'Ingress', 'Egress', or 'Multiple'. The value 'Multiple' is used where the occultation track is not monotonic over relatively short time scales. Generally only used for some Hubble-based occultations. May be appropriate for extremely long duration occultations of a high proper motion star (e.g., u36). Required in labels of ring occultation observations. Not intended as a value for a table field. ","rings","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"rings:Occultation_Ring_Profile:2       rings:ring_profile_direction:2         Value:Egress","Value","Egress","","","The ring radius along the occultation track increases with time."
"rings:Occultation_Ring_Profile:2       rings:ring_profile_direction:2         Value:Ingress","Value","Ingress","","","The ring radius along the occultation track decreases with time."
"rings:Occultation_Ring_Profile:2       rings:ring_profile_direction:2         Value:Multiple","Value","Multiple","","","The occultation track is not monotonic over relatively short time scales. Generally only used for some Hubble-based occultations. May be appropriate for extremely long duration occultations of a high proper motion star (e.g., u36)."
"rings:Occultation_Ring_Profile:2       rings:planetary_occultation_flag:1    ","Attribute","planetary_occultation_flag","n/a","rings","The planetary_occultation_flag is a yes-or-no flag that indicates whether a occultation track also intersects the planet. Required in labels of ring occultation observations. Normally not intended as a value for a table field. ","rings","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","1","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"rings:Occultation_Ring_Profile:2       rings:planetary_occultation_flag:2     Value:N","Value","N","","","The occultation track does not intersect the planet."
"rings:Occultation_Ring_Profile:2       rings:planetary_occultation_flag:2     Value:Y","Value","Y","","","Some portion of the occultation track also intersects the planet."
"rings:Occultation_Ring_Profile:2       rings:data_quality_score:1            ","Attribute","data_quality_score","n/a","rings","data_quality_score indicates the overall quality of the data, based on a subjective evaluation by the data provider. Required in labels of ring occultation radial profiles. Normally not intended as a value for a table field. ","rings","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"rings:Occultation_Ring_Profile:2       rings:data_quality_score:2             Value:Fair","Value","Fair","","","Some portions of the data have issues which may be identified in the Note Flag column of the data file or other documentation. Overall the data may be suitable for quantitative measures, but extra care should be used."
"rings:Occultation_Ring_Profile:2       rings:data_quality_score:2             Value:Good","Value","Good","","","The data is uniformly good and is suitable for quantitative measurements."
"rings:Occultation_Ring_Profile:2       rings:data_quality_score:2             Value:Poor","Value","Poor","","","The data are sufficiently compromised that they are not suitable for quantitative measurements (although they may be satisfactory for determining the locations of sharp features such as gap edges)."
"rings:Occultation_Ring_Profile:2       rings:data_quality_index:1            ","Attribute","data_quality_index","n/a","rings","data_quality_index provides a more precise subjective assessment by the data provider of the quality of the observed/predicted ring occultation. ","rings","ASCII_Short_String_Collapsed","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"rings:Occultation_Ring_Profile:2       rings:data_quality_index:2             Value:0","Value","0","","","Not observable - observations at the predicted occultation event time for this ring were either not recorded (for example, the star was below the horizon) or the occultation chord did not intersect the ring."
"rings:Occultation_Ring_Profile:2       rings:data_quality_index:2             Value:1","Value","1","","","High-SNR profile with sharp edges matched by square-well model fit."
"rings:Occultation_Ring_Profile:2       rings:data_quality_index:2             Value:2","Value","2","","","Moderate-SNR profile with well-defined midtime from square-well model fit but possible systematic deviations of observed ring profile from model fit."
"rings:Occultation_Ring_Profile:2       rings:data_quality_index:2             Value:3","Value","3","","","Clear ring detection but less-reliable ring width and or mid-time due to noise or substantial convolution by star diameter and/or instrumental time constant."
"rings:Occultation_Ring_Profile:2       rings:data_quality_index:2             Value:4","Value","4","","","Unreliable detection - some hint of a ring occultation, fitted by square-well model, but ~50% chance it is just noise."
"rings:Occultation_Ring_Profile:2       rings:data_quality_index:2             Value:5","Value","5","","","No detection - Data were recorded at the expected location of a ring occultation, but no ring was observed, either because ring event was obscured by noise or (for the lambda ring) the optical depth of the ring at the observed longitude was below detectability, even if the overall SNR of the data is high."
"rings:Occultation_Ring_Profile:2       rings:data_quality_index:2             Value:6","Value","6","","","Is not an indication of data quality. Indicates the product is a profile of the entire ring system based on the equator system of the planet."
"rings:Occultation_Ring_Profile:2       rings:data_quality_index:2             Value:B","Value","B","","","Background is from a different occultation."
"rings:Occultation_Ring_Profile:2       rings:data_quality_index:2             Value:F","Value","F","","","Significant fraction of Sun is outside FOV."
"rings:Occultation_Ring_Profile:2       rings:data_quality_index:2             Value:R","Value","R","","","Some of the data are flagged for removal."
"rings:Occultation_Ring_Profile:2       rings:data_quality_index:2             Value:U","Value","U","","","Unocculted solar signal is from a different occultation."
"rings:Occultation_Ring_Profile:2       rings:data_quality_index:2             Value:X","Value","X","","","Observation is unusable for analysis."
"rings:Occultation_Ring_Profile:2       rings:ring_detected:1                 ","Attribute","ring_detected","n/a","rings","The ring_detected attribute is a yes-or-no flag that indicates whether a specific ring has been detected. Typically used in radial profiles of a single ring. ","rings","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","1","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"rings:Occultation_Ring_Profile:2       rings:ring_detected:2                  Value:N","Value","N","","","The ring was not detected."
"rings:Occultation_Ring_Profile:2       rings:ring_detected:2                  Value:Y","Value","Y","","","The ring was detected."
"rings:Occultation_Ring_Profile:2       rings:ring_plane:1                    ","Attribute","ring_plane","n/a","rings","ring_plane indicates the plane upon which parameters such as ring_radius are based. Possible values for the Saturn ring system are 'Equator', 'A', 'B', 'C', 'D', 'E', 'F', 'G', 'Phoebe'. For the Uranus ring system values are 'Equator', 'six', 'five', 'four', 'alpha', 'beta', 'eta', 'gamma', 'delta', 'lambda','epsilon',nu, mu. An additional value, 'individual' is also defined. Note that the named rings of Saturn are in title case while those of Uranus are lower case, consistent with normal usage by the community. Required in labels of ring occultation observations. ","rings","ASCII_Short_String_Collapsed","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"rings:Occultation_Ring_Profile:2       rings:ring_plane:2                     Value:A","Value","A","","","Parameters such as ring_radius were determined based on the plane of the A Ring."
"rings:Occultation_Ring_Profile:2       rings:ring_plane:2                     Value:B","Value","B","","","Parameters such as ring_radius were determined based on the plane of the B Ring."
"rings:Occultation_Ring_Profile:2       rings:ring_plane:2                     Value:C","Value","C","","","Parameters such as ring_radius were determined based on the plane of the C Ring."
"rings:Occultation_Ring_Profile:2       rings:ring_plane:2                     Value:D","Value","D","","","Parameters such as ring_radius were determined based on the plane of the D Ring."
"rings:Occultation_Ring_Profile:2       rings:ring_plane:2                     Value:E","Value","E","","","Parameters such as ring_radius were determined based on the plane of the E Ring."
"rings:Occultation_Ring_Profile:2       rings:ring_plane:2                     Value:Equator","Value","Equator","","","Parameters such as ring_radius were determined based on the equatorial plane of the planet."
