"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"rings:Rings_Supplement:1              ","Class","Rings_Supplement","1.0.0.0","rings","This class is required for all Rings Node curated data products","rings","","","","","","","","","","",""
"rings:Occultation_Ring_Profile:2       rings:occultation_direction:1         ","Attribute","occultation_direction","n/a","rings","occultation_direction indicates the direction of an occultation track. This refers to the observed occultation track overall, not to the subset that might appear in a particular file (e.g., if an occultation includes both ingress and egress tracks, the value for occultation_direction will be both in the data products for each occultation profile. Permitted values are 'Ingress', 'Egress', 'Both', and 'Multiple'. The value 'multiple' is only used for some Hubble-based occultations where the occultation track is not monotonic over relatively short time scales. Required in labels of ring occultation observations. Not intended as a value for a table field. ","rings","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"rings:Occultation_Ring_Profile:2       rings:occultation_direction:2          Value:Ingress","Value","Ingress","","","The distance to the target body center decreases with time."
"rings:Occultation_Ring_Profile:2       rings:occultation_direction:2          Value:Egress","Value","Egress","","","The distance to the target body center increases with time."
"rings:Occultation_Ring_Profile:2       rings:occultation_direction:2          Value:Both","Value","Both","","","The distance to the target body center along a portion of the occultation track decreases with time, and along a different portion increases with time."
"rings:Occultation_Ring_Profile:2       rings:occultation_direction:2          Value:Multiple","Value","Multiple","","","Only used for some Hubble-based occultations where the occultation track is not monotonic over relatively short time scales."
"rings:Occultation_Ring_Profile:2       rings:ring_profile_direction:1        ","Attribute","ring_profile_direction","n/a","rings","ring_profile_direction indicates the radial direction of a ring occultation within a particular data product. Possible values are 'Ingress', 'Egress', or 'Multiple'. The value 'Multiple' is only used for some Hubble-based occultations where the occultation track is not monotonic over relatively short time scales. Required in labels of ring occultation observations. Not intended as a value for a table field. ","rings","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"rings:Occultation_Ring_Profile:2       rings:ring_profile_direction:2         Value:Ingress","Value","Ingress","","","The ring radius along the occultation track decreases with time."
"rings:Occultation_Ring_Profile:2       rings:ring_profile_direction:2         Value:Egress","Value","Egress","","","The ring radius along the occultation track increases with time."
"rings:Occultation_Ring_Profile:2       rings:ring_profile_direction:2         Value:Multiple","Value","Multiple","","","Only used for some Hubble-based occultations where the occultation track is not monotonic over relatively short time scales."
"rings:Occultation_Ring_Profile:2       rings:planetary_occultation_flag:1    ","Attribute","planetary_occultation_flag","n/a","rings","The planetary_occultation_flag is a yes-or-no flag that indicates whether a occultation track also intersects the planet. Required in labels of ring occultation observations. Normally not intended as a value for a table field. ","rings","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","1","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"rings:Occultation_Ring_Profile:2       rings:planetary_occultation_flag:2     Value:Y","Value","Y","","","Some portion of the occultation track also intersects the planet."
"rings:Occultation_Ring_Profile:2       rings:planetary_occultation_flag:2     Value:N","Value","N","","","The occultation track does not intersect the planet."
"rings:Occultation_Ring_Profile:2       rings:ring_plane:1                    ","Attribute","ring_plane","n/a","rings","ring_plane indicates the plane upon which parameters such as ring_radius are based. Possible values for the Saturn ring system are 'Equator', 'A', 'B', 'C', 'D', 'E', 'F', 'G', 'Phoebe'. For the Uranus ring system values are 'Equator', 'Six', 'Five', 'Four', 'Alpha', 'Beta', 'Eta', 'Gamma', 'Delta', 'Lambda','Epsilon',Nu, Mu. Required in labels of ring occultation observations. ","rings","ASCII_Short_String_Collapsed","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"rings:Occultation_Ring_Profile:2       rings:ring_plane:2                     Value:A","Value","A","","","Parameters such as ring_radius were determined based on the plane of the A Ring."
"rings:Occultation_Ring_Profile:2       rings:ring_plane:2                     Value:B","Value","B","","","Parameters such as ring_radius were determined based on the plane of the B Ring."
"rings:Occultation_Ring_Profile:2       rings:ring_plane:2                     Value:C","Value","C","","","Parameters such as ring_radius were determined based on the plane of the C Ring."
"rings:Occultation_Ring_Profile:2       rings:ring_plane:2                     Value:D","Value","D","","","Parameters such as ring_radius were determined based on the plane of the D Ring."
"rings:Occultation_Ring_Profile:2       rings:ring_plane:2                     Value:E","Value","E","","","Parameters such as ring_radius were determined based on the plane of the E Ring."
"rings:Occultation_Ring_Profile:2       rings:ring_plane:2                     Value:F","Value","F","","","Parameters such as ring_radius were determined based on the plane of the F Ring."
"rings:Occultation_Ring_Profile:2       rings:ring_plane:2                     Value:G","Value","G","","","Parameters such as ring_radius were determined based on the plane of the G Ring."
"rings:Occultation_Ring_Profile:2       rings:ring_plane:2                     Value:Phoebe","Value","Phoebe","","","Parameters such as ring_radius were determined based on the plane of the Phoebe Ring."
"rings:Occultation_Ring_Profile:2       rings:ring_plane:2                     Value:Equator","Value","Equator","","","Parameters such as ring_radius were determined based on the equatorial plane of the planet."
"rings:Occultation_Ring_Profile:2       rings:ring_plane:2                     Value:Six","Value","Six","","","Parameters such as ring_radius were determined based on the plane of the Six Ring."
"rings:Occultation_Ring_Profile:2       rings:ring_plane:2                     Value:Five","Value","Five","","","Parameters such as ring_radius were determined based on the plane of the Five Ring."
"rings:Occultation_Ring_Profile:2       rings:ring_plane:2                     Value:Four","Value","Four","","","Parameters such as ring_radius were determined based on the plane of the Four Ring."
"rings:Occultation_Ring_Profile:2       rings:ring_plane:2                     Value:Alpha","Value","Alpha","","","Parameters such as ring_radius were determined based on the plane of the Alpha Ring."
"rings:Occultation_Ring_Profile:2       rings:ring_plane:2                     Value:Beta","Value","Beta","","","Parameters such as ring_radius were determined based on the plane of the Beta Ring."
"rings:Occultation_Ring_Profile:2       rings:ring_plane:2                     Value:Eta","Value","Eta","","","Parameters such as ring_radius were determined based on the plane of the Eta Ring."
"rings:Occultation_Ring_Profile:2       rings:ring_plane:2                     Value:Gamma","Value","Gamma","","","Parameters such as ring_radius were determined based on the plane of the Gamma Ring."
"rings:Occultation_Ring_Profile:2       rings:ring_plane:2                     Value:Delta","Value","Delta","","","Parameters such as ring_radius were determined based on the plane of the Delta Ring."
"rings:Occultation_Ring_Profile:2       rings:ring_plane:2                     Value:Lambda","Value","Lambda","","","Parameters such as ring_radius were determined based on the plane of the Lambda Ring."
"rings:Occultation_Ring_Profile:2       rings:ring_plane:2                     Value:Epsilon","Value","Epsilon","","","Parameters such as ring_radius were determined based on the plane of the Epsilon Ring."
"rings:Occultation_Ring_Profile:2       rings:ring_plane:2                     Value:Nu","Value","Nu","","","Parameters such as ring_radius were determined based on the plane of the Nu Ring."
"rings:Occultation_Ring_Profile:2       rings:ring_plane:2                     Value:Mu","Value","Mu","","","Parameters such as ring_radius were determined based on the plane of the Mu Ring."
"rings:Occultation_Ring_Profile:2       rings:star_name:1                     ","Attribute","star_name","n/a","rings","star_name provides the identifying name of star, including the catalog name if necessary. Examples include 'sigma Sgr' and 'SAO 123456' (for star number 123456 in the Smithsonian Astrophysical Observatory catalog). Use 'Sun' for solar occultations. Required in labels for stellar and solar occultations. Not used for radio occultations. ","rings","ASCII_Short_String_Collapsed","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"rings:Occultation_Ring_Profile:2       rings:dsn_station_number:1            ","Attribute","dsn_station_number","n/a","rings","dsn_station_number identifies the receiving DSN station. Required in labels for radio occultations; not used for stellar occultations. Nillable in which case the nil_reason should be 'inapplicable'. ","rings","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"rings:Occultation_Ring_Profile:2       rings:frequency_band:1                ","Attribute","frequency_band","n/a","rings"," The frequency_band attribute provides the one or two letter identifier for the frequency band associated with radio occultation data. Required in labels for radio occultations; not used for stellar occultations. ","rings","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"rings:Occultation_Ring_Profile:2       rings:frequency_band:2                 Value:R","Value","R","","","Frequency range: 1.70 to 2.60 GHz "
"rings:Occultation_Ring_Profile:2       rings:frequency_band:2                 Value:D","Value","D","","","Frequency range: 2.20 to 3.30 GHz "
"rings:Occultation_Ring_Profile:2       rings:frequency_band:2                 Value:S","Value","S","","","Frequency range: 2.60 to 3.95 GHz "
"rings:Occultation_Ring_Profile:2       rings:frequency_band:2                 Value:E","Value","E","","","Frequency range: 3.30 to 4.90 GHz "
"rings:Occultation_Ring_Profile:2       rings:frequency_band:2                 Value:G","Value","G","","","Frequency range: 3.95 to 5.85 GHz "
"rings:Occultation_Ring_Profile:2       rings:frequency_band:2                 Value:F","Value","F","","","Frequency range: 4.90 to 7.05 GHz "
"rings:Occultation_Ring_Profile:2       rings:frequency_band:2                 Value:C","Value","C","","","Frequency range: 5.85 to 8.20 GHz "
"rings:Occultation_Ring_Profile:2       rings:frequency_band:2                 Value:H","Value","H","","","Frequency range: 7.05 to 10.10 GHz "
"rings:Occultation_Ring_Profile:2       rings:frequency_band:2                 Value:X","Value","X","","","Frequency range: 8.2 to 12.4 GHz "
"rings:Occultation_Ring_Profile:2       rings:frequency_band:2                 Value:Ku","Value","Ku","","","Frequency range: 12.4 to 18.0 GHz "
"rings:Occultation_Ring_Profile:2       rings:frequency_band:2                 Value:K","Value","K","","","Frequency range: 5.0 to 26.5 GHz "
"rings:Occultation_Ring_Profile:2       rings:frequency_band:2                 Value:Ka","Value","Ka","","","Frequency range: 26.5 to 40.0 GHz "
"rings:Occultation_Ring_Profile:2       rings:frequency_band:2                 Value:Q","Value","Q","","","Frequency range: 33 to 50 GHz "
"rings:Occultation_Ring_Profile:2       rings:frequency_band:2                 Value:U","Value","U","","","Frequency range: 40 to 60 GHz "
"rings:Occultation_Ring_Profile:2       rings:frequency_band:2                 Value:V","Value","V","","","Frequency range: 50 to 75 GHz "
"rings:Occultation_Ring_Profile:2       rings:frequency_band:2                 Value:W","Value","W","","","Frequency range: 75 to 110 GHz "
"rings:Occultation_Ring_Profile:2       rings:frequency_band:2                 Value:Y","Value","Y","","","Frequency range: 325 to 500 GHz "
"rings:Occultation_Ring_Profile:2       rings:wavelength:1                    ","Attribute","wavelength","n/a","rings","wavelength of the observation. Optional in labels. If the observation is over a wavelength range, use the corresponding minimum and maximum attributes instead. ","rings","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Length","none","TBD_classConcept","REAL"
"rings:Occultation_Ring_Profile:2       rings:minimum_wavelength:1            ","Attribute","minimum_wavelength","n/a","rings","minimum_wavelength is the smallest wavelength used in the observation. Optional in labels. Used with maximum_wavelength when the observation is over a wavelength range. ","rings","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Length","none","TBD_classConcept","REAL"
"rings:Occultation_Ring_Profile:2       rings:maximum_wavelength:1            ","Attribute","maximum_wavelength","n/a","rings","maximum_wavelength is the largest wavelength used in the observation. Optional in labels. Used with minimum_wavelength when the observation is over a wavelength range. ","rings","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Length","none","TBD_classConcept","REAL"
"rings:Occultation_Ring_Profile:2       rings:radial_resolution:1             ","Attribute","radial_resolution","n/a","rings","radial_resolution indicates the nominal radial distance over which changes in ring properties can be detected within a data product. Note: this value may be larger than the radial_sampling_interval value, because a data product can be over-sampled. Required in labels if the value is fixed, as it is for stellar occultations. If the value varies, the corresponding minimum and maximum attributes must be used instead. Not intended to be used as a table field. ","rings","ASCII_Real","1","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Length","none","TBD_classConcept","REAL"
"rings:Occultation_Ring_Profile:2       rings:radial_sampling_interval:1      ","Attribute","radial_sampling_interval","n/a","rings","radial_sampling_interval indicates the radial spacing between consecutive points in a ring profile. In practice, this may be somewhat smaller than the radial_resolution because a profile may be over-sampled. Required in labels if the value is fixed. If the value varies, the corresponding minimum and and maximum attributes must be used instead. Not intended to be used as a table field. ","rings","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Length","none","TBD_classConcept","REAL"
"rings:Occultation_Ring_Profile:2       rings:minimum_radial_sampling_interval:1","Attribute","minimum_radial_sampling_interval","n/a","rings","minimum_radial_sampling_interval indicates the smallest radial spacing between consecutive points in a ring profile. In practice, this may be somewhat smaller than the radial_resolution because a profile may be over-sampled. If the value of radial_sampling_interval varies, the minimum and maximum attributes are required in labels. Not intended to be used as a table field. ","rings","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Length","none","TBD_classConcept","REAL"
"rings:Occultation_Ring_Profile:2       rings:maximum_radial_sampling_interval:1","Attribute","maximum_radial_sampling_interval","n/a","rings","maximum_radial_sampling_interval indicates the smallest radial spacing between consecutive points in a ring profile. In practice, this may be somewhat smaller than the radial_resolution because a profile may be over-sampled. If the value of radial_sampling_interval varies, the minimum and maximum attributes are required in labels. Not intended to be used as a table field. ","rings","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Length","none","TBD_classConcept","REAL"
"rings:Occultation_Ring_Profile:2       rings:reference_time_utc:1            ","Attribute","reference_time_utc","n/a","rings","reference_time_utc provides a date and time in UTC format. Given in a label when time values in a table are given as elapsed seconds offset from a reference time. Unless there are compelling reasons to do otherwise, reference_time_utc should correspond to the start of a day. Required anytime a table field is given relative to a specific date and time other than when Barycentric Dynamical Time is used (e.g., observed_event_tdb). ","rings","ASCII_Date_Time_YMD_UTC","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_Time","none","TBD_classConcept","SHORT_STRING"
"rings:Occultation_Ring_Profile:2       rings:minimum_observed_event_time:1   ","Attribute","minimum_observed_event_time","n/a","rings","minimum_observed_event_time gives the smallest value for observed_event_time in the associated data file. It is given in numeric seconds as an offset from the specified UTC reference time. minimum_observed_event_time is optional in labels since the data file time interval end point values are given by the required start_date_time_utc and stop_date_time_utc attributes in the Time_Coordinates class. ","rings","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Time","none","TBD_classConcept","REAL"
"rings:Occultation_Ring_Profile:2       rings:maximum_observed_event_time:1   ","Attribute","maximum_observed_event_time","n/a","rings","maximum_observed_event_time gives the largest value for observed_event_time in the associated data file. It is given in numeric seconds as an offset from the specified UTC reference time. maximum_observed_event_time is optional in labels since the data file time interval end point values are given by the required start_date_time_utc and stop_date_time_utc attributes in the Time_Coordinates class. ","rings","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Time","none","TBD_classConcept","REAL"
"rings:Occultation_Ring_Profile:2       rings:observed_event_start_time_utc:1 ","Attribute","observed_event_start_time_utc","n/a","rings","observed_event_start_time_utc indicates the UTC value for earliest time in the described data. It is part of a start/stop pair. If one of observed_event_start_time_utc and observed_event_stop_time_utc is used, both must be used. ","rings","ASCII_Date_Time_YMD_UTC","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"rings:Occultation_Ring_Profile:2       rings:observed_event_stop_time_utc:1  ","Attribute","observed_event_stop_time_utc","n/a","rings","observed_event_stop_time_utc indicates the UTC value for latest time in the described data. It is part of a start/stop pair. If one of observed_event_start_time_utc and observed_event_stop_time_utc is used, both must be used. ","rings","ASCII_Date_Time_YMD_UTC","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"rings:Occultation_Ring_Profile:2       rings:observed_event_start_tdb:1      ","Attribute","observed_event_start_tdb","n/a","rings","observed_event_start_tdb indicates the value for earliest time in the described data, and is given in elapsed seconds since the J2000 epoch. Optional in labels; not intended for use as a table field.","rings","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Time","none","TBD_classConcept","REAL"
"rings:Occultation_Ring_Profile:2       rings:observed_event_stop_tdb:1       ","Attribute","observed_event_stop_tdb","n/a","rings","observed_event_stop_tdb indicates the value for latest time in the described data, and is given in elapsed seconds since the J2000 epoch. Optional in labels; not intended for use as a table field. ","rings","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Time","none","TBD_classConcept","REAL"
"rings:Occultation_Ring_Profile:2       rings:spacecraft_event_start_time_utc:1","Attribute","spacecraft_event_start_time_utc","n/a","rings","spacecraft_event_start_time_utc gives the UTC time corresponding to the earliest time given by spacecraft_event_time in the data table. However, while spacecraft_event_time is given as seconds offset from a reference time, spacecraft_event_start_time_utc is given as a UTC date time. Required in the label for radio occultation data. Not used for stellar occultations. ","rings","ASCII_Date_Time_YMD_UTC","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_Time","none","TBD_classConcept","SHORT_STRING"
"rings:Occultation_Ring_Profile:2       rings:spacecraft_event_stop_time_utc:1","Attribute","spacecraft_event_stop_time_utc","n/a","rings","spacecraft_event_stop_time_utc gives the UTC time corresponding to the latest time given by spacecraft_event_time in the data table. However, while spacecraft_event_time is given as seconds offset from a reference time, spacecraft_event_stop_time_utc is given as a UTC date time. Required in the label for radio occultation data. Not used for stellar occultations. ","rings","ASCII_Date_Time_YMD_UTC","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_Time","none","TBD_classConcept","SHORT_STRING"
"rings:Occultation_Ring_Profile:2       rings:ring_event_start_time_utc:1     ","Attribute","ring_event_start_time_utc","n/a","rings","ring_event_start_time_utc gives the UTC time corresponding to the earliest time given by ring_event_time or ring_event_tdb in the data table. ring_event_start_time_utc is required for all ring occultation data. ring_event_start_time_utc is required label attribute for all ring occultation data. ","rings","ASCII_Date_Time_YMD_UTC","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_Time","none","TBD_classConcept","SHORT_STRING"
"rings:Occultation_Ring_Profile:2       rings:ring_event_stop_time_utc:1      ","Attribute","ring_event_stop_time_utc","n/a","rings","ring_event_stop_time_utc gives the UTC time corresponding to the latest time given by ring_event_time or ring_event_tdb in the data table. ring_event_stop_time_utc is required for all ring occultation data. ring_event_stop_time_utc is required label attribute for all ring occultation data. ","rings","ASCII_Date_Time_YMD_UTC","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_Time","none","TBD_classConcept","SHORT_STRING"
"rings:Occultation_Ring_Profile:2       rings:ring_event_start_tdb:1          ","Attribute","ring_event_start_tdb","n/a","rings","ring_event_start_tdb indicates the value for earliest time in the described data, and is given in ring_event_tdb format. Optional in labels; not intended for use as a table field. ","rings","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Time","none","TBD_classConcept","REAL"
"rings:Occultation_Ring_Profile:2       rings:ring_event_stop_tdb:1           ","Attribute","ring_event_stop_tdb","n/a","rings","ring_event_stop_tdb indicates the value for latest time in the described data, and is given in ring_event_tdb format. Optional in labels; not intended for use as a table field. ","rings","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Time","none","TBD_classConcept","REAL"
"rings:Occultation_Ring_Profile:2       rings:earth_received_start_time_utc:1 ","Attribute","earth_received_start_time_utc","n/a","rings","earth_received_start_time_utc gives the UTC time corresponding to the earliest time for the data product at which telemetry or other photons were received on Earth. Optional for occultation data. ","rings","ASCII_Date_Time_YMD_UTC","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_Time","none","TBD_classConcept","SHORT_STRING"
"rings:Occultation_Ring_Profile:2       rings:earth_received_stop_time_utc:1  ","Attribute","earth_received_stop_time_utc","n/a","rings","earth_received_stop_time_utc gives the UTC time corresponding to the latest time for the data product at which telemetry or other photons were received on Earth. Optional for occultation data. ","rings","ASCII_Date_Time_YMD_UTC","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_Time","none","TBD_classConcept","SHORT_STRING"
"rings:Occultation_Ring_Profile:2       rings:minimum_ring_radius:1           ","Attribute","minimum_ring_radius","n/a","rings","minimum_ring_radius indicates the smallest ring radius value in the data table. Units are km and are always positive. Required in label files for ring occultation data. ","rings","ASCII_Real","1","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Length","none","TBD_classConcept","REAL"
"rings:Occultation_Ring_Profile:2       rings:maximum_ring_radius:1           ","Attribute","maximum_ring_radius","n/a","rings","maximum_ring_radius indicates the largest ring radius value in the data table. Units are km and are always positive. Required in label files for ring occultation data. ","rings","ASCII_Real","1","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Length","none","TBD_classConcept","REAL"
"rings:Occultation_Ring_Profile:2       rings:minimum_ring_longitude:1        ","Attribute","minimum_ring_longitude","n/a","rings","minimum_ring_longitude specifes one boundary for the ring longitude range in the data; normally the smallest value. However, for ranges that cross the prime meridian, the minimum ring longitude will have a value greater than the maximum ring longitude. Values range from 0 to 360 in units of degrees. Required in label files for ring occultation data. ","rings","ASCII_Real","1","1","0","360","Unbounded","Unbounded","Units_of_Angle","none","TBD_classConcept","REAL"
"rings:Occultation_Ring_Profile:2       rings:maximum_ring_longitude:1        ","Attribute","maximum_ring_longitude","n/a","rings","maximum_ring_longitude specifies one boundary for the ring longitude range in the data; normally the largest value. However, for ranges that cross the prime meridian, the maximum ring longitude will have a value less than the minimum ring longitude. Values range from 0 to 360 in units of degrees. Required in label files for ring occultation data. ","rings","ASCII_Real","1","1","0","360","Unbounded","Unbounded","Units_of_Angle","none","TBD_classConcept","REAL"
"rings:Occultation_Ring_Profile:2       rings:minimum_observed_ring_azimuth:1 ","Attribute","minimum_observed_ring_azimuth","n/a","rings","minimum_observed_ring_azimuth specifes the smallest value for observed_ring_azimuth in the data file. Values range from 0 to 360 in units of degrees. Required in label files for ring occultation data. ","rings","ASCII_Real","1","1","0","360","Unbounded","Unbounded","Units_of_Angle","none","TBD_classConcept","REAL"
"rings:Occultation_Ring_Profile:2       rings:maximum_observed_ring_azimuth:1 ","Attribute","maximum_observed_ring_azimuth","n/a","rings","maximum_observed_ring_azimuth specifes the largest value for observed_ring_azimuth in the data file. Values range from 0 to 360 in units of degrees. Required in label files for ring occultation data. ","rings","ASCII_Real","1","1","0","360","Unbounded","Unbounded","Units_of_Angle","none","TBD_classConcept","REAL"
"rings:Occultation_Ring_Profile:2       rings:sub_stellar_ring_azimuth:1      ","Attribute","sub_stellar_ring_azimuth","n/a","rings","sub_stellar_ring_azimuth is an angle measured at a point in the ring plane, starting from the direction of a photon arriving from a star, and ending at the direction of a local radial vector. This angle is projected into the ring plane and measured in the prograde direction. Values range from 0 to 360 in units of degrees. For stellar occultation data, this angle is equal to (observed_ring_azimuth + 180) mod 360. It is available only for backward compatibility with previously published Cassini UVIS occultation data analysis; observed_ring_azimuth is the preferred quantity for archiving. sub_stellar_ring_azimuth is an optional data table field for Cassini UVIS occultation data; not recommended for other occultation data. In a label, the min and max variation attributes are optional for Cassini UVIS occultation data; not recommended for other occultation data. ","rings","ASCII_Real","0","1","0","360","Unbounded","Unbounded","Units_of_Angle","none","TBD_classConcept","REAL"
