"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"disp:Color_Display_Settings:1        ","Class","Color_Display_Settings","1.0.0.0","disp","The Color_Display_Settings class provides guidance to data users on how to display a multi-banded Array object on a color-capable display device.","img","","","","","","","","","","",""
"disp:Movie_Display_Settings:2         disp:loop_flag:2                      Value:false","Value","false","","","The movie should be not be ""looped"" or played repeatedly."
"disp:Movie_Display_Settings:2         disp:loop_flag:2                      Value:true","Value","true","","","The movie should be ""looped"" or played repeatedly."
"disp:Movie_Display_Settings:2         disp:loop_count:1                    ","Attribute","loop_count","n/a","disp","The loop_count attribute specifies the number of times a movie should be ""looped"" or replayed before stopping.","img","ASCII_Integer","0","1","1","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"disp:Movie_Display_Settings:2         disp:loop_delay:1                    ","Attribute","loop_delay","n/a","disp","The loop_delay attribute specifies the amount of time to pause between ""loops"" or repeated playbacks of a movie.","img","ASCII_Real","0","1","0.0","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Time","none","TBD_classConcept","REAL"
"disp:Movie_Display_Settings:2         disp:loop_back_and_forth_flag:1      ","Attribute","loop_back_and_forth_flag","n/a","disp","The loop_back_and_forth_flag attribute specifies whether or not a movie should only be ""looped"" or played repeatedly in the forward direction, or whether it should be played forward followed by played in reverse, iteratively.","img","ASCII_Boolean","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","BOOLEAN"
"disp:Movie_Display_Settings:2         disp:loop_back_and_forth_flag:2       Value:false","Value","false","","","When looping, the movie should only be played in the forward direction. This is the default behavior."
"disp:Movie_Display_Settings:2         disp:loop_back_and_forth_flag:2       Value:true","Value","true","","","When looping, the movie should be played in the forward direction, followed by the reverse direction, iteratively."
"geom:Articulation_Device_Parameters:1","Class","Articulation_Device_Parameters","1.0.0.0","geom","The Articulation_Device_Parameters class contains those attributes and sub-classes that describe an articulation device. An articulation device is anything that can move independently of the spacecraft to which it is attached. Examples include mast heads, wheel bogies, arms, filter wheel, scan platforms. ","geo","","","","","","","","","","",""
"geom:Articulation_Device_Parameters:2 pds:local_identifier:1              ","Attribute","local_identifier","n/a","pds","The local_identifier attribute provides a character string which uniquely identifies the containing object within the label.","TBD_steward","ASCII_Local_Identifier","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","TBD_dataConcept"
"geom:Articulation_Device_Parameters:2 geom:device_id:1                     ","Attribute","device_id","n/a","geom","The device_id attribute specifies the abbreviated identification of an articulation device. ","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"geom:Articulation_Device_Parameters:2 geom:device_name:1                   ","Attribute","device_name","n/a","geom","The device_name attribute specifies the common name of an articulation device. ","geo","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"geom:Articulation_Device_Parameters:2 geom:device_mode:1                   ","Attribute","device_mode","n/a","geom","The device_mode attribute specifies the deployment state (i.e., physical configuration) of an articulation device at the time of data acquisition. Examples include 'Arm Vibe', 'Deployed', 'Free Space', 'Stowed'. Note: the value set for this attribute is mission-specific and should be declared in a mission-specific dictionary. ","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"geom:Articulation_Device_Parameters:2 geom:device_phase:1                  ","Attribute","device_phase","n/a","geom","The device_phase attribute specifies the current phase of the mission, from an articulation-device-centric point of view. ","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"geom:Articulation_Device_Parameters:2 geom:selected_instrument_id:1        ","Attribute","selected_instrument_id","n/a","geom","The selected_instrument_id attribute specifies an abbreviated name or acronym that identifies the selected instrument mounted on the articulation device. ","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"geom:Body_Identification_Base:1      ","Class","Body_Identification_Base","1.0.0.0","geom","The Body_Identification_Base class provides multiple attributes that can be used to identify a physical object (spacecraft, planet instrument, transmitter, system barycenter, etc.). At least one must be used. ","geo","","","","","","","","","","",""
"geom:Body_Identification_Base:2       pds:local_identifier:1              ","Attribute","local_identifier","n/a","pds","The local_identifier attribute provides a character string which uniquely identifies the containing object within the label.","TBD_steward","ASCII_Local_Identifier","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","TBD_dataConcept"
"geom:Body_Identification_Base:2       geom:body_spice_name:1               ","Attribute","body_spice_name","n/a","geom","The body_spice_name attribute is a NAIF-recognized string identifier for a physical object (spacecraft, planet, instrument transmitter, system barycenter, etc.), associated with the data. ","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"geom:Body_Identification_Base:2       pds:name:1                          ","Attribute","name","n/a","pds","The name attribute provides a word or combination of words by which the object is known.","TBD_steward","UTF8_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","TBD_dataConcept"
"geom:CAHVORE_Model:1                 ","Class","CAHVORE_Model","1.0.0.0","geom","The CAHVORE model is built upon CAHVOR (see CAHVOR_Model), adding support for fisheye lenses. It adds one more 3-vector and two scalars to CAHVOR. E (Entrance_Terms) contains the coefficients of a polynomial function used to model movement of the entrance pupil. The two scalars, cahvore_model_type and cahvore_model_parameter, together specify the type of lens being modeled. ","geo","","","","","","","","","","",""
"geom:CAHVORE_Model:2                  geom:cahvore_model_type:1            ","Attribute","cahvore_model_type","n/a","geom","The cahvore_model_type attribute indicates which variant of the CAHVORE model to use. Type 1 is a perspective-projection model, similar to CAHV and CAHVOR except for the moving entrance pupil. Type 2 is a fish-eye lens model reflecting fundamentally different geometry. Type 3 is a generalization that includes the first two, and is used for most fisheye-type lenses (see cahvore_model_parameter). ","geo","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"geom:CAHVORE_Model:2                  geom:cahvore_model_type:2             Value:1","Value","1","","","A perspective-projection model, similar to CAHV and CAHVOR except for the moving entrance pupil"
"geom:CAHVORE_Model:2                  geom:cahvore_model_type:2             Value:2","Value","2","","","A fish-eye lens model reflecting fundamentally different geometry"
"geom:CAHVORE_Model:2                  geom:cahvore_model_type:2             Value:3","Value","3","","","A generalization that includes the first two, and is used for most fisheye-type lenses"
"geom:CAHVORE_Model:2                  geom:cahvore_model_parameter:1       ","Attribute","cahvore_model_parameter","n/a","geom","The cahvore_parameter_type attribute is a scalar floating-point number used for CAHVORE Type 3 models (see cahvore_model_type). If the parameter is 1.0, the model is identical to type 1; if 0.0, it is identical to type 2. Most fish-eye lenses use a value in between. ","geo","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"geom:CAHVOR_Model:1                  ","Class","CAHVOR_Model","1.0.0.0","geom","The CAHVOR model is built upon CAHV (see CAHV_Model), adding radial (barrel or pincushion) distortion to the linear model. It adds two more 3-vectors to CAHV. O (Vector_Optical) is a unit vector representing the axis of symmetry for the radial distortion. R (Radial_Terms) contains the coefficients of a polynomial function that describes the radial distortion. ","geo","","","","","","","","","","",""
"geom:CAHV_Model:1                    ","Class","CAHV_Model","1.0.0.0","geom","The CAHV model is a linear, perspective-projection camera model (equivalent to a pinhole camera). It consists of four 3-vectors (C,A,H,V) that describe the internal and external camera model parameters needed to translate between 2D image coordinates and 3D world coordinates. C (Vector_Center) is the 3D position of the pinhole (center of the entrance pupil). A (Vector_Axis) is a unit vector normal to the image plane pointing outward. H (Vector_Horizontal) is a composite vector encoding three quantities: H' (a vector in the image plane perpendicular to the vertical columns), Hs (the distance between the lens center and image plane, measured in horizontal pixels), and Hc (the horizontal image coordinate directly under C when moving parallel to A). V (Vector_Vertical) similarly composites the analogous V', Vs, and Vc in the vertical direction. ","geo","","","","","","","","","","",""
"geom:Camera_Model_Parameters:1       ","Class","Camera_Model_Parameters","1.0.0.0","geom","A camera model describes the mathematical relationship between the coordinates of a point in 3-dimensional space and its projection onto a 2-dimensional image plane. There are numerous types of camera models. ","geo","","","","","","","","","","",""
"geom:Camera_Model_Parameters:2        geom:model_type:1                    ","Attribute","model_type","n/a","geom","The model_type attribute specifies an identifier for the type or kind of model. The value should be one of a well defined set, providing an application program with sufficient information to know how to handle the rest of the parameters within the model. This value will correlate directly with the specific camera model class that is a subclass of the Camera_Model_Parameters class. ","geo","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"geom:Camera_Model_Parameters:2        geom:model_type:2                     Value:CAHV","Value","CAHV","","","The CAHV model is a linear, perspective-projection camera model (equivalent to a pinhole camera)."
"geom:Camera_Model_Parameters:2        geom:model_type:2                     Value:CAHVOR","Value","CAHVOR","","","The CAHVOR model is built upon CAHV (see CAHV_Model), adding radial (barrel or pincushion) distortion to the linear model."
"geom:Camera_Model_Parameters:2        geom:model_type:2                     Value:CAHVORE","Value","CAHVORE","","","The CAHVORE model is built upon CAHVOR (see CAHVOR_Model), adding support for fisheye lenses."
"geom:Camera_Model_Parameters:2        geom:model_type:2                     Value:PSPH","Value","PSPH","","","The PSPH model is designed to perform better fisheye-image rectification prior to 1D stereo correlation."
"geom:Camera_Model_Parameters:2        geom:calibration_source_id:1         ","Attribute","calibration_source_id","n/a","geom","The calibration_source_id is used to identify the source used in calibrating the instrument. ","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"geom:Camera_Model_Parameters:2        geom:solution_id:1                   ","Attribute","solution_id","n/a","geom","The solution_id attribute specifies the unique identifier for the solution set to which the values in the group belong. For certain kinds of information, such as pointing correction (pointing models) and rover localization (coordinate system definitions), the ""true"" value is unknown and only estimates of the true value exist. Thus, more than one set of estimates may exist simultaneously, each valid for its intended purpose. Each of these sets is called a ""solution"" to the unknown true value. The solution_id attribute is used to identify which solution is being expressed by the containing group. No specific naming convention is defined here, however it is recommended that projects adopt one. The intent is to be able to identify who created the solution, and why. Possible components of the naming convention include user, institution, purpose, request ID, version, program, date/time. ","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"geom:Central_Body_Identification:1   ","Class","Central_Body_Identification","1.0.0.0","geom","The Central_Body_Identification class uniquely identifies the body that is the central body associated with an observation (e.g., Saturn for Saturn system observations). ","geo","","","","","","","","","","",""
"geom:Central_Body_Identification:2    pds:local_identifier:1              ","Attribute","local_identifier","n/a","pds","The local_identifier attribute provides a character string which uniquely identifies the containing object within the label.","TBD_steward","ASCII_Local_Identifier","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","TBD_dataConcept"
"geom:Central_Body_Identification:2    geom:body_spice_name:1               ","Attribute","body_spice_name","n/a","geom","The body_spice_name attribute is a NAIF-recognized string identifier for a physical object (spacecraft, planet, instrument transmitter, system barycenter, etc.), associated with the data. ","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"geom:Central_Body_Identification:2    pds:name:1                          ","Attribute","name","n/a","pds","The name attribute provides a word or combination of words by which the object is known.","TBD_steward","UTF8_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","TBD_dataConcept"
"geom:Commanded_Geometry:1            ","Class","Commanded_Geometry","1.0.0.0","geom"," Specifies how the device was commanded in order to achieve the state represented in the enclosing Articulation_Device_Parameters. Commands are often at a higher level, e.g. point at this location or move to this XYZ, which is translated by flight software to the actual pose of the device. Certain forms of command are measured in a coordinate frame; this is specified by the Coordinate_Space_Reference in this class (if not present, the Coordinate_Space_Reference in the Articulation_Device_Parameters parent should be assumed). ","geo","","","","","","","","","","",""
"geom:Commanded_Geometry:2             geom:command_type:1                  ","Attribute","command_type","n/a","geom"," Specifies how the device was commanded. ","geo","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"geom:Commanded_Geometry:2             geom:command_type:2                   Value:Angle_Absolute","Value","Angle_Absolute","",""," Specifies an absolute pointing direction for the device. This is distinct from Joint_Absolute in that the angle is measured in a coordinate frame rather than direct joint angles. "
"geom:Commanded_Geometry:2             geom:command_type:2                   Value:Angle_Relative","Value","Angle_Relative","",""," Specifies a pointing direction change relative to the prior pointing. This is distinct from Joint_Relative in that the angle is measured in a coordinate frame rather than direct joint angles. "
"geom:Commanded_Geometry:2             geom:command_type:2                   Value:Joint_Absolute","Value","Joint_Absolute","",""," Specifies absolute joint angles. "
"geom:Commanded_Geometry:2             geom:command_type:2                   Value:Joint_Relative","Value","Joint_Relative","",""," Specifies joint angles as a delta relative to the prior pointing.. "
"geom:Commanded_Geometry:2             geom:command_type:2                   Value:No_Motion","Value","No_Motion","",""," Specifies no motion from the previous observation. "
"geom:Commanded_Geometry:2             geom:command_type:2                   Value:No_Motion_No_Arb","Value","No_Motion_No_Arb","",""," Specifies no motion from the previous observation, but also does not reserve the resource (thus no arbitration). "
"geom:Commanded_Geometry:2             geom:command_type:2                   Value:None","Value","None","",""," Unspecified commanding. "
"geom:Commanded_Geometry:2             geom:command_type:2                   Value:XYZ","Value","XYZ","",""," Specifies a pointing target as an XYZ coordinate in a given coordinate frame. "
"geom:Commanded_Position:1            ","Class","Commanded_Position","1.0.0.0","geom"," Specifies a Cartesian position used in commanding the device. ","geo","","","","","","","","","","",""
"geom:Commanded_Position:2             geom:x_position:1                    ","Attribute","x_position","n/a","geom","The x component of a Cartesian position vector.","geo","ASCII_Real","1","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Length","none","TBD_classConcept","REAL"
"geom:Commanded_Position:2             geom:y_position:1                    ","Attribute","y_position","n/a","geom","The y component of a Cartesian position vector.","geo","ASCII_Real","1","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Length","none","TBD_classConcept","REAL"
"geom:Commanded_Position:2             geom:z_position:1                    ","Attribute","z_position","n/a","geom","The z component of a Cartesian position vector.","geo","ASCII_Real","1","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Length","none","TBD_classConcept","REAL"
"geom:Coordinate_Space_Definition:1   ","Class","Coordinate_Space_Definition","1.0.0.0","geom","The Coordinate_Space classes are typically used for lander/rover geometry while the Coordinate_System construction is used for orbiter/flyby geometry. ","geo","","","","","","","","","","",""
"geom:Coordinate_Space_Definition:2    pds:local_identifier:1              ","Attribute","local_identifier","n/a","pds","The local_identifier attribute provides a character string which uniquely identifies the containing object within the label.","TBD_steward","ASCII_Local_Identifier","1","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","TBD_dataConcept"
"geom:Coordinate_Space_Definition:2    geom:positive_azimuth_direction:1    ","Attribute","positive_azimuth_direction","n/a","geom","The positive_azimuth_direction attribute specifies the direction in which azimuth is measured in positive degrees for an observer on the surface of a body. The azimuth is measured with respect to the elevation reference plane. A value of 'clockwise' indicates that azimuth is measured positively clockwise, and 'counterclockwise' indicates that azimuth increases positively counter-clockwise. ","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"geom:Coordinate_Space_Definition:2    geom:positive_azimuth_direction:2     Value:CCW","Value","CCW","","","Indicates that azimuth is measured positively Counter-clockwise."
"geom:Coordinate_Space_Definition:2    geom:positive_azimuth_direction:2     Value:CW","Value","CW","","","Indicates that azimuth is measured positively Clockwise."
"geom:Coordinate_Space_Definition:2    geom:positive_azimuth_direction:2     Value:Clockwise","Value","Clockwise","","","Indicates that azimuth is measured positively Clockwise."
"geom:Coordinate_Space_Definition:2    geom:positive_azimuth_direction:2     Value:Counterclockwise","Value","Counterclockwise","","","Indicates that azimuth is measured positively Counter-clockwise."
"geom:Coordinate_Space_Definition:2    geom:positive_elevation_direction:1  ","Attribute","positive_elevation_direction","n/a","geom","The positive_elevation_direction attribute provides the direction in which elevation is measured in positive degrees for an observer on the surface of a body. The elevation is measured with respect to the azimuthal reference plane. A value of UP or ZENITH indicates that elevation is measured positively upwards, i.e., the zenith point would be at +90 degrees and the nadir point at -90 degrees. DOWN or NADIR indicates that the elevation is measured positively downwards; the zenith point would be at -90 degrees and the nadir point at +90 degrees. ","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"geom:Coordinate_Space_Definition:2    geom:positive_elevation_direction:2   Value:Down","Value","Down","","","Indicates that the elevation is measured positively downwards, i.e. the zenith point would be at -90 degrees and the nadir point at +90 degrees."
"geom:Coordinate_Space_Definition:2    geom:positive_elevation_direction:2   Value:Nadir","Value","Nadir","","","Indicates that the elevation is measured positively downwards, i.e. the zenith point would be at -90 degrees and the nadir point at +90 degrees."
"geom:Coordinate_Space_Definition:2    geom:positive_elevation_direction:2   Value:Up","Value","Up","","","Indicates that elevation is measured positively upwards, i.e., the zenith point would be at +90 degrees and the nadir point at -90 degrees."
"geom:Coordinate_Space_Definition:2    geom:positive_elevation_direction:2   Value:Zenith","Value","Zenith","","","Indicates that elevation is measured positively upwards, i.e., the zenith point would be at +90 degrees and the nadir point at -90 degrees."
"geom:Coordinate_Space_Definition:2    geom:quaternion_measurement_method:1 ","Attribute","quaternion_measurement_method","n/a","geom","Specifies the method by which the coordinate space was measured. This provides an indication of the quality of the definition.","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"geom:Coordinate_Space_Definition:2    geom:quaternion_measurement_method:2  Value:Bundle_Adjustment","Value","Bundle_Adjustment","","","Coordinate space position and/or orientation was refined using a bundle adjustment process, minimizing error with respect to some fixed reference (such as an orbital map)."
"geom:Coordinate_Space_Definition:2    geom:quaternion_measurement_method:2  Value:Coarse","Value","Coarse","","","The attitude estimate is complete (3-axis), but crude."
"geom:Coordinate_Space_Definition:2    geom:quaternion_measurement_method:2  Value:Fine","Value","Fine","","","The attitude estimate is complete."
"geom:Coordinate_Space_Definition:2    geom:quaternion_measurement_method:2  Value:Sun_Find","Value","Sun_Find","","","Coordinate space orientation rotation was measured by finding the location of the sun in one or more images and comparing that to where the sun actually was at that time."
"geom:Coordinate_Space_Definition:2    geom:quaternion_measurement_method:2  Value:Tilt_Only","Value","Tilt_Only","","","The attitude estimate is only good for tilt (2-axis) determination."
"geom:Coordinate_Space_Definition:2    geom:quaternion_measurement_method:2  Value:Unknown","Value","Unknown","","","The attitude should not be trusted."
"geom:Coordinate_Space_Identification:1","Class","Coordinate_Space_Identification","1.0.0.0","geom","The Coordinate_Space_Identification class uniquely identifies a coordinate space (i.e., reference frame + position) with respect to which the values of the attributes in the containing class are defined. ","geo","","","","","","","","","","",""
"geom:Coordinate_Space_Index:1        ","Class","Coordinate_Space_Index","1.0.0.0","geom","Identifies a coordinate space using an index value given in an identified list. ","geo","","","","","","","","","","",""
"geom:Coordinate_Space_Index:2         geom:index_value_number:1            ","Attribute","index_value_number","n/a","geom","The index_value_number attribute provides the value with no applicable units as named by the associated index_id or index_name. ","geo","ASCII_Real","0","*","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
